[2025-06-05 08:01:01,861] 18 - INFO - initate the data ingstion
[2025-06-05 08:01:36,585] 65 - INFO - Performed train test split on the dataframe
[2025-06-05 08:01:36,585] 67 - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-05 08:01:36,586] 75 - INFO - Exporting train and test file path.
[2025-06-05 08:01:36,642] 84 - INFO - Exported train and test file path.
[2025-06-05 08:01:36,642] 20 - INFO - data ingestion completed
[2025-06-05 08:01:36,651] 24 - INFO - initate data validation
[2025-06-05 08:01:36,737] 32 - INFO - Required number of columns:2
[2025-06-05 08:01:36,737] 33 - INFO - Data frame has columns:31
[2025-06-05 08:01:36,737] 32 - INFO - Required number of columns:2
[2025-06-05 08:01:36,737] 33 - INFO - Data frame has columns:31
[2025-06-05 08:01:36,909] 26 - INFO - data validation completed
[2025-06-05 08:01:36,909] 32 - INFO - data Transformation started
[2025-06-05 08:01:36,910] 63 - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-06-05 08:01:36,910] 65 - INFO - Starting data transformation
[2025-06-05 08:01:36,935] 48 - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-06-05 08:01:36,935] 53 - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-05 08:01:36,939] 41 - INFO - Entered the save_object method of MainUtils class
[2025-06-05 08:01:36,951] 45 - INFO - Exited the save_object method of MainUtils class
[2025-06-05 08:01:36,951] 41 - INFO - Entered the save_object method of MainUtils class
[2025-06-05 08:01:36,953] 45 - INFO - Exited the save_object method of MainUtils class
[2025-06-05 08:01:36,954] 37 - INFO - data Transformation completed
[2025-06-05 08:01:36,954] 40 - INFO - Model Training sstared
