[2025-06-03 07:37:34,962] 16 - INFO - initate the data ingstion
[2025-06-03 07:37:40,128] 65 - INFO - Performed train test split on the dataframe
[2025-06-03 07:37:40,128] 67 - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-03 07:37:40,128] 75 - INFO - Exporting train and test file path.
[2025-06-03 07:37:40,201] 84 - INFO - Exported train and test file path.
[2025-06-03 07:37:40,201] 18 - INFO - data ingestion completed
[2025-06-03 07:37:40,209] 22 - INFO - initate data validation
[2025-06-03 07:37:40,269] 32 - INFO - Required number of columns:2
[2025-06-03 07:37:40,269] 33 - INFO - Data frame has columns:31
[2025-06-03 07:37:40,269] 32 - INFO - Required number of columns:2
[2025-06-03 07:37:40,270] 33 - INFO - Data frame has columns:31
[2025-06-03 07:37:40,407] 24 - INFO - data validation completed
