[2025-06-05 08:02:00,979] 18 - INFO - initate the data ingstion
[2025-06-05 08:02:45,529] 65 - INFO - Performed train test split on the dataframe
[2025-06-05 08:02:45,529] 67 - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-05 08:02:45,529] 75 - INFO - Exporting train and test file path.
[2025-06-05 08:02:45,593] 84 - INFO - Exported train and test file path.
[2025-06-05 08:02:45,593] 20 - INFO - data ingestion completed
[2025-06-05 08:02:45,603] 24 - INFO - initate data validation
[2025-06-05 08:02:45,667] 32 - INFO - Required number of columns:2
[2025-06-05 08:02:45,667] 33 - INFO - Data frame has columns:31
[2025-06-05 08:02:45,668] 32 - INFO - Required number of columns:2
[2025-06-05 08:02:45,669] 33 - INFO - Data frame has columns:31
[2025-06-05 08:02:45,804] 26 - INFO - data validation completed
[2025-06-05 08:02:45,806] 32 - INFO - data Transformation started
[2025-06-05 08:02:45,806] 63 - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-06-05 08:02:45,806] 65 - INFO - Starting data transformation
[2025-06-05 08:02:45,826] 48 - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-06-05 08:02:45,827] 53 - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-05 08:02:45,831] 41 - INFO - Entered the save_object method of MainUtils class
[2025-06-05 08:02:45,842] 45 - INFO - Exited the save_object method of MainUtils class
[2025-06-05 08:02:45,842] 41 - INFO - Entered the save_object method of MainUtils class
[2025-06-05 08:02:45,844] 45 - INFO - Exited the save_object method of MainUtils class
[2025-06-05 08:02:45,846] 37 - INFO - data Transformation completed
[2025-06-05 08:02:45,846] 40 - INFO - Model Training sstared
