[2025-06-06 00:27:51,494] 1025 - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 401 Unauthorized"
[2025-06-06 00:27:55,474] 1025 - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2025-06-06 00:27:56,135] 1025 - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2025-06-06 00:27:56,654] 1025 - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-06-06 00:27:56,683] 107 - INFO - Accessing as Shahinurhasans
[2025-06-06 00:27:57,352] 1025 - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Shahinurhasans/networksecurity "HTTP/1.1 200 OK"
[2025-06-06 00:27:57,896] 1025 - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-06-06 00:27:57,896] 107 - INFO - Initialized MLflow to track repo "Shahinurhasans/networksecurity"
[2025-06-06 00:27:57,896] 107 - INFO - Repository Shahinurhasans/networksecurity initialized!
[2025-06-06 00:27:59,937] 20 - INFO - Initiate the data ingestion
[2025-06-06 00:28:08,195] 65 - INFO - Performed train test split on the dataframe
[2025-06-06 00:28:08,195] 67 - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-06 00:28:08,195] 75 - INFO - Exporting train and test file path.
[2025-06-06 00:28:08,258] 84 - INFO - Exported train and test file path.
[2025-06-06 00:28:08,258] 22 - INFO - Data Initiation Completed
[2025-06-06 00:28:08,274] 26 - INFO - Initiate the data Validation
[2025-06-06 00:28:08,337] 32 - INFO - Required number of columns:2
[2025-06-06 00:28:08,337] 33 - INFO - Data frame has columns:31
[2025-06-06 00:28:08,337] 32 - INFO - Required number of columns:2
[2025-06-06 00:28:08,337] 33 - INFO - Data frame has columns:31
[2025-06-06 00:28:08,479] 28 - INFO - data Validation Completed
[2025-06-06 00:28:08,479] 31 - INFO - data Transformation started
[2025-06-06 00:28:08,479] 63 - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-06-06 00:28:08,479] 65 - INFO - Starting data transformation
[2025-06-06 00:28:08,511] 48 - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-06-06 00:28:08,511] 53 - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-06 00:28:27,572] 41 - INFO - Entered the save_object method of MainUtils class
[2025-06-06 00:28:27,580] 45 - INFO - Exited the save_object method of MainUtils class
[2025-06-06 00:28:27,581] 41 - INFO - Entered the save_object method of MainUtils class
[2025-06-06 00:28:27,583] 45 - INFO - Exited the save_object method of MainUtils class
[2025-06-06 00:28:27,592] 35 - INFO - data Transformation completed
[2025-06-06 00:28:27,592] 37 - INFO - Model Training sstared
