[2025-06-05 08:37:11,313] 19 - INFO - initate the data ingstion
[2025-06-05 08:38:10,949] 65 - INFO - Performed train test split on the dataframe
[2025-06-05 08:38:10,949] 67 - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-05 08:38:10,949] 75 - INFO - Exporting train and test file path.
[2025-06-05 08:38:11,006] 84 - INFO - Exported train and test file path.
[2025-06-05 08:38:11,006] 21 - INFO - data ingestion completed
[2025-06-05 08:38:11,022] 25 - INFO - initate data validation
[2025-06-05 08:38:11,095] 32 - INFO - Required number of columns:2
[2025-06-05 08:38:11,095] 33 - INFO - Data frame has columns:31
[2025-06-05 08:38:11,095] 32 - INFO - Required number of columns:2
[2025-06-05 08:38:11,099] 33 - INFO - Data frame has columns:31
[2025-06-05 08:38:11,282] 27 - INFO - data validation completed
[2025-06-05 08:38:11,290] 33 - INFO - data Transformation started
[2025-06-05 08:38:11,290] 63 - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-06-05 08:38:11,290] 65 - INFO - Starting data transformation
[2025-06-05 08:38:11,315] 48 - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-06-05 08:38:11,315] 53 - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-05 08:38:11,332] 41 - INFO - Entered the save_object method of MainUtils class
[2025-06-05 08:38:11,337] 45 - INFO - Exited the save_object method of MainUtils class
[2025-06-05 08:38:11,337] 41 - INFO - Entered the save_object method of MainUtils class
[2025-06-05 08:38:11,341] 45 - INFO - Exited the save_object method of MainUtils class
[2025-06-05 08:38:11,343] 38 - INFO - data Transformation completed
[2025-06-05 08:38:11,343] 41 - INFO - Model Training sstared
