[2025-06-05 22:23:09,611] 1025 - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2025-06-05 22:23:10,226] 1025 - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2025-06-05 22:23:10,852] 1025 - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-06-05 22:23:10,853] 107 - INFO - Accessing as Shahinurhasans
[2025-06-05 22:23:11,414] 1025 - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Shahinurhasans/networksecurity "HTTP/1.1 200 OK"
[2025-06-05 22:23:11,969] 1025 - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-06-05 22:23:11,985] 107 - INFO - Initialized MLflow to track repo "Shahinurhasans/networksecurity"
[2025-06-05 22:23:11,985] 107 - INFO - Repository Shahinurhasans/networksecurity initialized!
[2025-06-05 22:23:11,985] 20 - INFO - Initiate the data ingestion
[2025-06-05 22:23:21,620] 65 - INFO - Performed train test split on the dataframe
[2025-06-05 22:23:21,620] 67 - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-05 22:23:21,620] 75 - INFO - Exporting train and test file path.
[2025-06-05 22:23:21,682] 84 - INFO - Exported train and test file path.
[2025-06-05 22:23:21,682] 22 - INFO - Data Initiation Completed
[2025-06-05 22:23:21,698] 26 - INFO - Initiate the data Validation
[2025-06-05 22:23:21,780] 32 - INFO - Required number of columns:2
[2025-06-05 22:23:21,780] 33 - INFO - Data frame has columns:31
[2025-06-05 22:23:21,780] 32 - INFO - Required number of columns:2
[2025-06-05 22:23:21,780] 33 - INFO - Data frame has columns:31
[2025-06-05 22:23:21,937] 28 - INFO - data Validation Completed
[2025-06-05 22:23:21,937] 31 - INFO - data Transformation started
[2025-06-05 22:23:21,937] 63 - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-06-05 22:23:21,937] 65 - INFO - Starting data transformation
[2025-06-05 22:23:21,969] 48 - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-06-05 22:23:21,969] 53 - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-05 22:23:21,985] 41 - INFO - Entered the save_object method of MainUtils class
[2025-06-05 22:23:21,985] 45 - INFO - Exited the save_object method of MainUtils class
[2025-06-05 22:23:21,985] 41 - INFO - Entered the save_object method of MainUtils class
[2025-06-05 22:23:21,985] 45 - INFO - Exited the save_object method of MainUtils class
[2025-06-05 22:23:21,985] 35 - INFO - data Transformation completed
[2025-06-05 22:23:21,998] 37 - INFO - Model Training sstared
[2025-06-05 22:27:15,219] 41 - INFO - Entered the save_object method of MainUtils class
[2025-06-05 22:27:15,219] 45 - INFO - Exited the save_object method of MainUtils class
[2025-06-05 22:27:15,219] 41 - INFO - Entered the save_object method of MainUtils class
[2025-06-05 22:27:15,267] 45 - INFO - Exited the save_object method of MainUtils class
[2025-06-05 22:27:15,267] 174 - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='artifact\\06_05_2025_22_22_59\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9907239362774753, precision_score=0.9891282464264143, recall_score=0.9923247828721471), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9756701030927835, precision_score=0.970467596390484, recall_score=0.9809286898839138))
[2025-06-05 22:27:15,267] 42 - INFO - Model Training artifact created
